Gemeindekennziffer;Name;Innergemeindliche_Pendler;Einpendler;Auspendler;Erwerbstaetig_am_Wohnort;Erwerbstaetige_am_Arbeitsort
08417075;Winterlingen;1.026;800;2.454;3.480;1.826
08417078;Zimmern unter der Burg;25;21;235;260;46
08417079;Albstadt, Stadt;14.405;10.818;8.243;22.648;25.223
08421000;Ulm, Universitätsstadt;42.400;71.385;21.902;64.302;113.785
08425002;Allmendingen;730;975;1.775;2.505;1.705
08425004;Altheim;57;89;288;345;146
08425005;Altheim (Alb);207;139;769;976;346
08425008;Amstetten;718;1.414;1.455;2.173;2.132
08425011;Asselfingen;110;131;475;585;241
08425013;Ballendorf;80;49;280;360;129
08425014;Beimerstetten;233;322;1.149;1.382;555
08425017;Berghülen;254;253;837;1.091;507
08425019;Bernstadt;148;166;1.036;1.184;314
08425020;Blaubeuren, Stadt;2.670;3.209;3.907;6.577;5.879
08425022;Börslingen;10;31;69;79;41
08425024;Breitingen;30;14;143;173;44
08425028;Dietenheim, Stadt;1.050;1.373;2.514;3.564;2.423
08425031;Dornstadt;1.251;3.647;3.410;4.661;4.898
08425033;Ehingen (Donau), Stadt;7.328;7.776;6.823;14.151;15.104
08425035;Emeringen;6;2;85;91;8
08425036;Emerkingen;107;137;391;498;244
08425039;Erbach, Stadt;1.778;2.085;5.579;7.357;3.863
08425050;Griesingen;28;27;529;557;55
08425052;Grundsheim;14;18;102;116;32
08425055;Hausen am Bussen;4;10;131;135;14
08425062;Holzkirch;13;18;129;142;31
08425064;Hüttisheim;136;137;666;802;273
08425066;Illerrieden;290;390;1.517;1.807;680
08425071;Laichingen, Stadt;2.716;2.480;3.570;6.286;5.196
08425072;Langenau, Stadt;2.965;4.083;5.108;8.073;7.048
08425073;Lauterach;32;16;298;330;48
08425075;Lonsee;563;419;2.114;2.677;982
08425079;Merklingen;329;785;776;1.105;1.114
08425081;Munderkingen, Stadt;827;1.088;1.916;2.743;1.915
08425083;Neenstetten;133;447;368;501;580
08425084;Nellingen;328;405;821;1.149;733
08425085;Nerenstetten;8;7;166;174;15
08425088;Oberdischingen;191;327;922;1.113;518
08425090;Obermarchtal;192;213;570;762;405
08425091;Oberstadion;187;172;752;939;359
08425092;Öllingen;44;50;274;318;94
08425093;Öpfingen;182;204;1.071;1.253;386
08425097;Rammingen;144;271;583;727;415
08425098;Rechtenstein;31;23;145;176;54
08425104;Rottenacker;264;767;937;1.201;1.031
08425108;Schelklingen, Stadt;1.035;1.005;2.486;3.521;2.040
08425110;Schnürpflingen;143;121;668;811;264
08425112;Setzingen;57;107;310;367;164
08425123;Untermarchtal;84;231;305;389;315
08425124;Unterstadion;89;301;369;458;390
08425125;Unterwachingen;15;51;90;105;66
08425130;Weidenstetten;120;117;660;780;237
08425134;Westerheim;562;673;1.044;1.606;1.235
08425135;Westerstetten;178;162;974;1.152;340
08425137;Illerkirchberg;324;525;2.203;2.527;849
08425138;Staig;320;430;1.433;1.753;750
08425139;Heroldstatt;462;731;1.125;1.587;1.193
08425140;Balzheim;342;619;791;1.133;961
08425141;Blaustein;1.723;1.964;6.939;8.662;3.687
08426001;Achstetten;514;947;2.146;2.660;1.461
08426005;Alleshausen;21;23;260;281;44
08426006;Allmannsweiler;15;25;155;170;40
08426008;Altheim;224;321;925;1.149;545
08426011;Attenweiler;188;138;943;1.131;326
08426013;Bad Buchau, Stadt;956;1.814;1.266;2.222;2.770
08426014;Bad Schussenried, Stadt;2.055;2.753;2.522;4.577;4.808
08426019;Berkheim;402;986;1.158;1.560;1.388
08426020;Betzenweiler;138;417;322;460;555
08426021;Biberach an der Riß, Stadt;10.927;21.911;6.318;17.245;32.838
08426028;Burgrieden;267;391;1.947;2.214;658
08426031;Dettingen an der Iller;299;738;1.042;1.341;1.037
08426035;Dürmentingen;552;1.200;960;1.512;1.752
08426036;Dürnau;61;33;213;274;94
08426038;Eberhardzell;755;1.079;1.895;2.650;1.834
08426043;Erlenmoos;186;315;914;1.100;501
08426044;Erolzheim;442;799;1.333;1.775;1.241
08426045;Ertingen;1.010;1.290;1.971;2.981;2.300
08426058;Hochdorf;282;698;1.029;1.311;980
08426062;Ingoldingen;372;377;1.288;1.660;749
08426064;Kanzach;71;104;229;300;175
08426065;Kirchberg an der Iller;285;330;846;1.131;615
08426066;Kirchdorf an der Iller;648;2.171;1.421;2.069;2.819
08426067;Langenenslingen;709;806;1.338;2.047;1.515
08426070;Laupheim, Stadt;5.932;10.042;5.932;11.864;15.974
08426071;Maselheim;519;475;2.048;2.567;994
08426073;Mietingen;497;650;2.162;2.659;1.147
08426074;Mittelbiberach;320;557;1.993;2.313;877
08426078;Moosburg;14;32;105;119;46
08426087;Ochsenhausen, Stadt;2.210;4.027;2.841;5.051;6.237
08426090;Oggelshausen;90;190;472;562;280
08426097;Riedlingen, Stadt;2.331;3.017;3.234;5.565;5.348
08426100;Rot an der Rot;892;604;1.783;2.675;1.496
08426108;Schwendi;1.231;1.605;2.439;3.670;2.836
08426109;Seekirch;13;27;140;153;40
08426113;Steinhausen an der Rottum;256;109;970;1.226;365
08426117;Tannheim;275;215;1.046;1.321;490
08426118;Tiefenbach;39;31;244;283;70
08426120;Ummendorf;484;1.517;1.896;2.380;2.001
08426121;Unlingen;307;204;1.108;1.415;511
08426124;Uttenweiler;626;388;1.517;2.143;1.014
08426125;Wain;276;427;604;880;703
08426128;Warthausen;421;1.722;2.447;2.868;2.143
08426134;Schemmerhofen;1.123;1.029;3.671;4.794;2.152
08426135;Gutenzell-Hürbel;169;79;911;1.080;248
08435005;Bermatingen;502;902;1.658;2.160;1.404
08435010;Daisendorf;102;77;643;745;179
08435013;Eriskirch;505;636;2.127;2.632;1.141
08435015;Frickingen;487;772;1.143;1.630;1.259
08435016;Friedrichshafen, Stadt;20.308;21.932;10.710;31.018;42.240
08435018;Hagnau am Bodensee;357;311;402;759;668
08435020;Heiligenberg;663;869;909;1.572;1.532
08435024;Immenstaad am Bodensee;1.215;3.601;1.834;3.049;4.816
08435029;Kressbronn am Bodensee;1.519;2.715;3.023;4.542;4.234
08435030;Langenargen;1.213;1.342;2.726;3.939;2.555
08435034;Markdorf, Stadt;2.519;4.282;4.676;7.195;6.801
08435035;Meckenbeuren;2.224;4.676;5.010;7.234;6.900
08435036;Meersburg, Stadt;1.237;1.482;1.764;3.001;2.719
08435042;Neukirch;396;282;1.213;1.609;678
08435045;Oberteuringen;548;727;2.195;2.743;1.275
08435047;Owingen;566;655;1.633;2.199;1.221
08435052;Salem;1.917;2.331;3.993;5.910;4.248
08435053;Sipplingen;255;249;758;1.013;504
08435054;Stetten;103;97;415;518;200
08435057;Tettnang, Stadt;4.439;6.861;6.158;10.597;11.300
08435059;Überlingen, Stadt;6.192;7.413;4.283;10.475;13.605
08435066;Uhldingen-Mühlhofen;1.171;883;3.050;4.221;2.054
08435067;Deggenhausertal;784;714;1.728;2.512;1.498
08436001;Achberg;221;338;623;844;559
08436003;Aichstetten;543;690;1.044;1.587;1.233
08436004;Aitrach;405;751;1.039;1.444;1.156
08436005;Altshausen;882;1.932;1.215;2.097;2.814
08436006;Amtzell;699;889;1.640;2.339;1.588
08436008;Aulendorf, Stadt;1.837;1.967;3.600;5.437;3.804
08436009;Bad Waldsee, Stadt;5.666;6.290;5.390;11.056;11.956
08436010;Bad Wurzach, Stadt;3.742;1.701;4.127;7.869;5.443
08436011;Baienfurt;729;2.189;3.167;3.896;2.918
08436012;Baindt;475;1.099;2.374;2.849;1.574
08436013;Berg;476;1.683;1.851;2.327;2.159
08436014;Bergatreute;407;197;1.435;1.842;604
08436018;Bodnegg;468;896;1.217;1.685;1.364
08436019;Boms;52;50;300;352;102
08436024;Ebenweiler;106;90;529;635;196
08436027;Eichstegen;64;46;240;304;110
08436032;Fleischwangen;70;82;340;410;152
08436039;Grünkraut;464;1.332;1.244;1.708;1.796
08436040;Guggenhausen;7;1;88;95;8
08436047;Hoßkirch;87;81;329;416;168
08436049;Isny im Allgäu, Stadt;4.541;4.066;2.939;7.480;8.607
08436052;Kißlegg;2.137;1.611;2.733;4.870;3.748
08436053;Königseggwald;80;76;298;378;156
08436055;Leutkirch im Allgäu, Stadt;7.178;4.403;5.207;12.385;11.581
08436064;Ravensburg, Stadt;14.805;30.222;12.086;26.891;45.027
08436067;Riedhausen;36;87;325;361;123
08436069;Schlier;373;475;1.450;1.823;848
08436077;Unterwaldhausen;7;9;155;162;16
08436078;Vogt;632;749;1.814;2.446;1.381
08436079;Waldburg;349;550;1.392;1.741;899
08436081;Wangen im Allgäu, Stadt;7.885;7.428;6.519;14.404;15.313
08436082;Weingarten, Stadt;4.100;11.445;8.650;12.750;15.545
08436083;Wilhelmsdorf;1.186;1.338;1.458;2.644;2.524
08436085;Wolfegg;539;669;1.419;1.958;1.208
08436087;Wolpertswende;417;409;1.823;2.240;826
08436093;Ebersbach-Musbach;196;151;770;966;347
08436094;Argenbühl;1.154;720;2.445;3.599;1.874
08436095;Horgenzell;842;905;2.199;3.041;1.747
08436096;Fronreute;474;568;2.166;2.640;1.042
08437005;Beuron;88;153;201;289;241
08437008;Bingen;243;146;1.286;1.529;389
08437031;Gammertingen, Stadt;1.629;2.375;1.794;3.423;4.004
08437044;Herbertingen;679;1.127;2.064;2.743;1.806
08437047;Hettingen, Stadt;412;844;630;1.042;1.256
08437053;Hohentengen;564;809;1.759;2.323;1.373
08437056;Illmensee;332;513;853;1.185;845
08437059;Inzigkofen;336;414;1.220;1.556;750
08437065;Krauchenwies;792;912;2.020;2.812;1.704
08437072;Leibertingen;272;470;906;1.178;742
08437076;Mengen, Stadt;2.157;2.933;3.352;5.509;5.090
08437078;Meßkirch, Stadt;2.051;1.603;2.581;4.632;3.654
08437082;Neufra;223;269;825;1.048;492
08437086;Ostrach;1.601;1.378;2.375;3.976;2.979
08437088;Pfullendorf, Stadt;3.924;4.093;3.048;6.972;8.017
08437100;Bad Saulgau, Stadt;4.683;4.441;4.449;9.132;9.124
08437101;Scheer, Stadt;258;597;1.126;1.384;855
08437102;Schwenningen;201;208;670;871;409
08437104;Sigmaringen, Stadt;4.055;7.220;3.656;7.711;11.275
08437105;Sigmaringendorf;639;1.458;1.197;1.836;2.097
08437107;Stetten am kalten Markt;1.088;2.022;1.588;2.676;3.110
08437114;Veringenstadt, Stadt;247;231;858;1.105;478
08437118;Wald;342;287;1.113;1.455;629
08437123;Sauldorf;480;600;1.038;1.518;1.080
08437124;Herdwangen-Schönach;553;499;1.269;1.822;1.052
