Gemeindekennziffer;Name;Innergemeindliche_Pendler;Einpendler;Auspendler;Erwerbstaetig_am_Wohnort;Erwerbstaetige_am_Arbeitsort
08119076;Urbach;1.033;2.897;3.591;4.624;3.930
08119079;Waiblingen, Stadt;9.568;23.236;19.213;28.781;32.804
08119083;Weissach im Tal;716;950;3.060;3.776;1.666
08119084;Welzheim, Stadt;2.235;1.875;3.573;5.808;4.110
08119085;Winnenden, Stadt;4.873;10.988;9.833;14.706;15.861
08119086;Winterbach;1.011;3.703;2.973;3.984;4.714
08119087;Aspach;1.193;1.730;3.254;4.447;2.923
08119089;Berglen;545;670;2.894;3.439;1.215
08119090;Remshalden;1.507;3.043;5.958;7.465;4.550
08119091;Weinstadt, Stadt;3.711;6.027;10.274;13.985;9.738
08119093;Kernen im Remstal;2.168;4.919;6.118;8.286;7.087
08121000;Heilbronn, Stadt;36.959;53.773;26.912;63.871;90.732
08125001;Abstatt;600;5.619;1.971;2.571;6.219
08125005;Bad Friedrichshall, Stadt;2.231;4.385;8.327;10.558;6.616
08125006;Bad Rappenau, Stadt;3.504;3.991;7.634;11.138;7.495
08125007;Bad Wimpfen, Stadt;980;1.850;2.732;3.712;2.830
08125008;Beilstein, Stadt;724;873;2.496;3.220;1.597
08125013;Brackenheim, Stadt;2.850;3.862;5.897;8.747;6.712
08125017;Cleebronn;385;957;1.208;1.593;1.342
08125021;Eberstadt;277;381;1.471;1.748;658
08125024;Ellhofen;315;1.353;1.655;1.970;1.668
08125026;Eppingen, Stadt;4.741;4.062;6.897;11.638;8.803
08125027;Erlenbach;534;1.195;2.352;2.886;1.729
08125030;Flein;602;1.143;3.019;3.621;1.745
08125034;Gemmingen;654;1.238;2.059;2.713;1.892
08125038;Güglingen, Stadt;1.358;3.099;1.996;3.354;4.457
08125039;Gundelsheim, Stadt;924;1.017;3.004;3.928;1.941
08125046;Ilsfeld;1.614;3.984;3.641;5.255;5.598
08125047;Ittlingen;322;437;992;1.314;759
08125048;Jagsthausen;395;421;612;1.007;816
08125049;Kirchardt;805;1.187;2.139;2.944;1.992
08125056;Lauffen am Neckar, Stadt;1.844;2.832;4.396;6.240;4.676
08125057;Lehrensteinsfeld;187;303;1.107;1.294;490
08125058;Leingarten;1.636;3.486;4.764;6.400;5.122
08125059;Löwenstein, Stadt;564;1.651;1.291;1.855;2.215
08125061;Massenbachhausen;347;771;1.662;2.009;1.118
08125063;Möckmühl, Stadt;1.567;2.326;2.584;4.151;3.893
08125065;Neckarsulm, Stadt;6.442;34.747;7.701;14.143;41.189
08125066;Neckarwestheim;480;1.264;1.645;2.125;1.744
08125068;Neudenau, Stadt;608;469;2.150;2.758;1.077
08125069;Neuenstadt am Kocher, Stadt;1.562;3.767;3.850;5.412;5.329
08125074;Nordheim;950;1.144;3.425;4.375;2.094
08125078;Oedheim;473;626;2.999;3.472;1.099
08125079;Offenau;309;978;1.164;1.473;1.287
08125081;Pfaffenhofen;249;382;1.058;1.307;631
08125084;Roigheim;148;238;593;741;386
08125086;Schwaigern, Stadt;2.109;3.328;4.166;6.275;5.437
08125087;Siegelsbach;161;889;706;867;1.050
08125094;Talheim;450;1.450;2.245;2.695;1.900
08125096;Untereisesheim;263;556;1.938;2.201;819
08125098;Untergruppenbach;786;1.914;3.733;4.519;2.700
08125102;Weinsberg, Stadt;1.598;4.666;4.949;6.547;6.264
08125103;Widdern, Stadt;235;160;792;1.027;395
08125107;Wüstenrot;1.041;693;2.456;3.497;1.734
08125108;Zaberfeld;399;388;1.762;2.161;787
08125110;Obersulm;2.098;2.805;5.299;7.397;4.903
08125111;Hardthausen am Kocher;469;888;1.850;2.319;1.357
08125113;Langenbrettach;383;549;1.767;2.150;932
08126011;Bretzfeld;1.751;1.841;5.310;7.061;3.592
08126020;Dörzbach;394;660;1.024;1.418;1.054
08126028;Forchtenberg, Stadt;859;1.257;1.950;2.809;2.116
08126039;Ingelfingen, Stadt;1.159;3.205;2.057;3.216;4.364
08126045;Krautheim, Stadt;949;1.189;1.678;2.627;2.138
08126046;Künzelsau, Stadt;3.792;8.754;4.382;8.174;12.546
08126047;Kupferzell;1.084;1.766;2.561;3.645;2.850
08126056;Mulfingen;1.018;3.207;1.213;2.231;4.225
08126058;Neuenstein, Stadt;1.148;2.483;2.524;3.672;3.631
08126060;Niedernhall, Stadt;492;1.448;1.710;2.202;1.940
08126066;Öhringen, Stadt;5.617;7.737;7.298;12.915;13.354
08126069;Pfedelbach;1.226;1.955;3.790;5.016;3.181
08126072;Schöntal;990;1.638;2.200;3.190;2.628
08126085;Waldenburg, Stadt;492;3.410;1.134;1.626;3.902
08126086;Weißbach;247;1.163;861;1.108;1.410
08126094;Zweiflingen;209;247;701;910;456
08127008;Blaufelden;1.445;2.245;1.617;3.062;3.690
08127009;Braunsbach;336;157;1.058;1.394;493
08127012;Bühlertann;335;395;1.427;1.762;730
08127013;Bühlerzell;320;252;828;1.148;572
08127014;Crailsheim, Stadt;11.539;11.518;6.434;17.973;23.057
08127023;Fichtenberg;337;594;1.148;1.485;931
08127025;Gaildorf, Stadt;2.639;2.026;3.769;6.408;4.665
08127032;Gerabronn, Stadt;910;880;1.526;2.436;1.790
08127043;Ilshofen, Stadt;1.369;2.344;2.264;3.633;3.713
08127046;Kirchberg an der Jagst, Stadt;896;1.103;1.369;2.265;1.999
08127047;Langenburg, Stadt;380;337;619;999;717
08127052;Mainhardt;938;727;2.207;3.145;1.665
08127056;Michelbach an der Bilz;286;556;1.477;1.763;842
08127059;Michelfeld;380;1.175;1.738;2.118;1.555
08127062;Oberrot;675;972;1.220;1.895;1.647
08127063;Obersontheim;917;2.186;1.924;2.841;3.103
08127071;Rot am See;1.020;1.077;2.086;3.106;2.097
08127073;Satteldorf;658;2.528;2.283;2.941;3.186
08127075;Schrozberg, Stadt;1.342;1.006;1.921;3.263;2.348
08127076;Schwäbisch Hall, Stadt;13.499;17.310;7.193;20.692;30.809
08127079;Sulzbach-Laufen;654;1.086;795;1.449;1.740
08127086;Untermünkheim;394;747;1.362;1.756;1.141
08127089;Vellberg, Stadt;433;649;1.880;2.313;1.082
08127091;Wallhausen;410;794;1.681;2.091;1.204
08127099;Wolpertshausen;379;1.096;865;1.244;1.475
08127100;Rosengarten;538;777;2.257;2.795;1.315
08127101;Kreßberg;520;491;1.721;2.241;1.011
08127102;Fichtenau;870;540;1.658;2.528;1.410
08127103;Frankenhardt;527;315;2.130;2.657;842
08127104;Stimpfach;512;684;1.237;1.749;1.196
08128006;Assamstadt;410;1.003;895;1.305;1.413
08128007;Bad Mergentheim, Stadt;6.795;8.242;5.403;12.198;15.037
08128014;Boxberg, Stadt;1.400;1.704;2.278;3.678;3.104
08128020;Creglingen, Stadt;1.368;1.070;1.413;2.781;2.438
08128039;Freudenberg, Stadt;700;1.267;1.263;1.963;1.967
08128045;Großrinderfeld;499;282;1.752;2.251;781
08128047;Grünsfeld, Stadt;559;871;1.488;2.047;1.430
08128058;Igersheim;811;2.183;2.204;3.015;2.994
08128061;Königheim;388;205;1.276;1.664;593
08128064;Külsheim, Stadt;814;705;1.986;2.800;1.519
08128082;Niederstetten, Stadt;1.382;1.781;1.487;2.869;3.163
08128115;Tauberbischofsheim, Stadt;3.645;7.474;3.082;6.727;11.119
08128126;Weikersheim, Stadt;1.600;1.515;2.458;4.058;3.115
08128128;Werbach;412;400;1.354;1.766;812
08128131;Wertheim, Stadt;7.663;6.934;4.427;12.090;14.597
08128137;Wittighausen;226;179;702;928;405
